zdd_id,thesis_number,magic_number,array_index,array_length,array_elements,array_signature_sorted,element_position,element_value
1,2020418,0,0,4,"[1,2,4,6]","[1,2,4,6]",0,1
1,2020418,0,0,4,"[1,2,4,6]","[1,2,4,6]",1,2
1,2020418,0,0,4,"[1,2,4,6]","[1,2,4,6]",2,4
1,2020418,0,0,4,"[1,2,4,6]","[1,2,4,6]",3,6
1,2020418,0,1,3,"[1,2,6]","[1,2,6]",0,1
1,2020418,0,1,3,"[1,2,6]","[1,2,6]",1,2
1,2020418,0,1,3,"[1,2,6]","[1,2,6]",2,6
1,2020418,0,2,4,"[1,3,4,6]","[1,3,4,6]",0,1
1,2020418,0,2,4,"[1,3,4,6]","[1,3,4,6]",1,3
1,2020418,0,2,4,"[1,3,4,6]","[1,3,4,6]",2,4
1,2020418,0,2,4,"[1,3,4,6]","[1,3,4,6]",3,6
1,2020418,0,3,3,"[1,3,6]","[1,3,6]",0,1
1,2020418,0,3,3,"[1,3,6]","[1,3,6]",1,3
1,2020418,0,3,3,"[1,3,6]","[1,3,6]",2,6
1,2020418,0,4,1,[2],[2],0,2
1,2020418,0,5,2,"[2,3]","[2,3]",0,2
1,2020418,0,5,2,"[2,3]","[2,3]",1,3
1,2020418,0,6,4,"[2,3,4,6]","[2,3,4,6]",0,2
1,2020418,0,6,4,"[2,3,4,6]","[2,3,4,6]",1,3
1,2020418,0,6,4,"[2,3,4,6]","[2,3,4,6]",2,4
1,2020418,0,6,4,"[2,3,4,6]","[2,3,4,6]",3,6
1,2020418,0,7,3,"[2,3,5]","[2,3,5]",0,2
1,2020418,0,7,3,"[2,3,5]","[2,3,5]",1,3
1,2020418,0,7,3,"[2,3,5]","[2,3,5]",2,5
1,2020418,0,8,3,"[2,3,6]","[2,3,6]",0,2
1,2020418,0,8,3,"[2,3,6]","[2,3,6]",1,3
1,2020418,0,8,3,"[2,3,6]","[2,3,6]",2,6
1,2020418,0,9,3,"[2,4,6]","[2,4,6]",0,2
1,2020418,0,9,3,"[2,4,6]","[2,4,6]",1,4
1,2020418,0,9,3,"[2,4,6]","[2,4,6]",2,6
1,2020418,0,10,2,"[2,5]","[2,5]",0,2
1,2020418,0,10,2,"[2,5]","[2,5]",1,5
1,2020418,0,11,2,"[2,6]","[2,6]",0,2
1,2020418,0,11,2,"[2,6]","[2,6]",1,6
1,2020418,0,12,1,[3],[3],0,3
1,2020418,0,13,3,"[3,4,6]","[3,4,6]",0,3
1,2020418,0,13,3,"[3,4,6]","[3,4,6]",1,4
1,2020418,0,13,3,"[3,4,6]","[3,4,6]",2,6
1,2020418,0,14,2,"[3,5]","[3,5]",0,3
1,2020418,0,14,2,"[3,5]","[3,5]",1,5
1,2020418,0,15,2,"[3,6]","[3,6]",0,3
1,2020418,0,15,2,"[3,6]","[3,6]",1,6
1,2020418,0,16,2,"[4,6]","[4,6]",0,4
1,2020418,0,16,2,"[4,6]","[4,6]",1,6
1,2020418,0,17,1,[5],[5],0,5
1,2020418,0,18,1,[6],[6],0,6
2,2021246,0,0,2,"[1,2]","[1,2]",0,1
2,2021246,0,0,2,"[1,2]","[1,2]",1,2
2,2021246,0,1,4,"[1,2,7,8]","[1,2,7,8]",0,1
2,2021246,0,1,4,"[1,2,7,8]","[1,2,7,8]",1,2
2,2021246,0,1,4,"[1,2,7,8]","[1,2,7,8]",2,7
2,2021246,0,1,4,"[1,2,7,8]","[1,2,7,8]",3,8
2,2021246,0,2,5,"[1,2,7,8,9]","[1,2,7,8,9]",0,1
2,2021246,0,2,5,"[1,2,7,8,9]","[1,2,7,8,9]",1,2
2,2021246,0,2,5,"[1,2,7,8,9]","[1,2,7,8,9]",2,7
2,2021246,0,2,5,"[1,2,7,8,9]","[1,2,7,8,9]",3,8
2,2021246,0,2,5,"[1,2,7,8,9]","[1,2,7,8,9]",4,9
2,2021246,0,3,3,"[1,2,8]","[1,2,8]",0,1
2,2021246,0,3,3,"[1,2,8]","[1,2,8]",1,2
2,2021246,0,3,3,"[1,2,8]","[1,2,8]",2,8
