array_signature,frequency_across_zdds,zdd_occurrences,first_seen_zdd,array_length,unique_elements
[2],11,"1,2,3,4,5,6,7,8,9,10,11",1,1,1
"[2,3]",10,"1,3,4,5,6,7,8,9,10,11",1,2,2
[3],10,"1,3,4,5,6,7,8,9,10,11",1,1,1
"[2,3,7]",5,"3,5,7,9,10",3,3,3
"[2,7]",5,"3,5,7,9,10",3,2,2
"[2,8]",5,"2,4,7,9,10",2,2,2
"[3,7]",5,"3,5,7,9,10",3,2,2
[7],5,"3,5,7,9,10",3,1,1
[8],5,"2,4,7,9,10",2,1,1
"[1,3,18]",4,"5,8,10,11",5,3,3
"[2,3,7,8]",4,"2,7,9,10",2,4,4
"[2,3,8]",4,"4,7,9,10",4,3,3
"[2,3,18]",4,"5,8,10,11",5,3,3
"[2,7,8]",4,"2,7,9,10",2,3,3
"[2,18]",4,"5,8,10,11",5,2,2
"[3,7,8]",4,"2,7,9,10",2,3,3
"[3,8]",4,"4,7,9,10",4,2,2
"[3,18]",4,"5,8,10,11",5,2,2
"[7,8]",4,"2,7,9,10",2,2,2
[18],4,"5,8,10,11",5,1,1
"[1,2]",4,"2,7,8,11",2,2,2
"[1,3]",4,"5,7,8,11",5,2,2
"[3,5]",3,"1,7,9",1,2,2
[5],3,"1,7,9",1,1,1
"[1,2,18]",3,"8,10,11",8,3,3
"[1,2,8]",3,"2,4,7",2,3,3
"[2,9]",3,"2,3,6",2,2,2
[9],3,"2,3,6",2,1,1
"[2,3,13]",3,"3,5,6",3,3,3
"[2,13]",3,"3,5,6",3,2,2
"[3,13]",3,"3,5,6",3,2,2
[13],3,"3,5,6",3,1,1
"[1,2,7,18]",2,"5,10",5,4,4
"[1,3,7,18]",2,"5,10",5,4,4
"[2,3,7,18]",2,"5,10",5,4,4
"[2,7,18]",2,"5,10",5,3,3
"[3,7,18]",2,"5,10",5,3,3
"[7,18]",2,"5,10",5,2,2
"[1,2,7,8]",2,"2,7",2,4,4
"[1,2,8,9]",2,"2,6",2,4,4
"[2,8,9]",2,"2,6",2,3,3
"[8,9]",2,"2,6",2,2,2
"[2,3,7,13]",2,"3,5",3,4,4
"[2,3,9]",2,"3,6",3,3,3
"[2,3,9,13]",2,"3,6",3,4,4
"[2,7,13]",2,"3,5",3,3,3
"[2,9,13]",2,"3,6",3,3,3
"[3,7,13]",2,"3,5",3,3,3
"[3,9]",2,"3,6",3,2,2
"[3,9,13]",2,"3,6",3,3,3
"[7,13]",2,"3,5",3,2,2
"[9,13]",2,"3,6",3,2,2
"[1,3,8]",2,"4,7",4,3,3
"[1,2,7]",2,"5,7",5,3,3
"[1,3,7]",2,"5,7",5,3,3
"[2,3,20]",2,"6,9",6,3,3
"[2,20]",2,"6,9",6,2,2
"[2,3,5,7]",2,"7,9",7,4,4
"[2,3,5,7,8]",2,"7,9",7,5,5
"[2,5,7]",2,"7,9",7,3,3
"[2,5,7,8]",2,"7,9",7,4,4
"[3,5,7]",2,"7,9",7,3,3
"[3,5,7,8]",2,"7,9",7,4,4
"[3,5,8]",2,"7,9",7,3,3
"[5,7]",2,"7,9",7,2,2
"[5,7,8]",2,"7,9",7,3,3
"[5,8]",2,"7,9",7,2,2
"[1,2,4,6]",1,1,1,4,4
"[1,2,6]",1,1,1,3,3
"[1,3,4,6]",1,1,1,4,4
"[1,3,6]",1,1,1,3,3
"[2,3,4,6]",1,1,1,4,4
"[2,3,5]",1,1,1,3,3
"[2,3,6]",1,1,1,3,3
"[2,4,6]",1,1,1,3,3
"[2,5]",1,1,1,2,2
"[2,6]",1,1,1,2,2
"[3,4,6]",1,1,1,3,3
"[3,6]",1,1,1,2,2
"[4,6]",1,1,1,2,2
[6],1,1,1,1,1
"[1,2,7,8,18]",1,10,10,5,5
"[1,2,7,18,26,27]",1,10,10,6,6
"[1,2,7,18,27]",1,10,10,5,5
"[1,2,8,18]",1,10,10,4,4
"[1,2,18,26,27]",1,10,10,5,5
"[1,2,18,27]",1,10,10,4,4
"[1,3,7,8,18]",1,10,10,5,5
"[1,3,7,18,26,27]",1,10,10,6,6
"[1,3,7,18,27]",1,10,10,5,5
"[1,3,8,18]",1,10,10,4,4
"[1,3,18,25,26,27]",1,10,10,6,6
"[1,3,18,26,27]",1,10,10,5,5
"[1,3,18,27]",1,10,10,4,4
"[2,3,7,8,18]",1,10,10,5,5
"[2,3,7,18,26,27]",1,10,10,6,6
"[2,3,7,18,27]",1,10,10,5,5
"[2,3,7,26,27]",1,10,10,5,5
"[2,3,7,27]",1,10,10,4,4
"[2,3,8,18]",1,10,10,4,4
"[2,3,18,25,26,27]",1,10,10,6,6
"[2,3,18,26,27]",1,10,10,5,5
"[2,3,18,27]",1,10,10,4,4
"[2,3,25,26,27]",1,10,10,5,5
"[2,3,26,27]",1,10,10,4,4
"[2,3,27]",1,10,10,3,3
"[2,7,8,18]",1,10,10,4,4
"[2,7,18,26,27]",1,10,10,5,5
"[2,7,18,27]",1,10,10,4,4
"[2,7,26,27]",1,10,10,4,4
"[2,7,27]",1,10,10,3,3
"[2,8,18]",1,10,10,3,3
"[2,18,25,26,27]",1,10,10,5,5
"[2,18,26,27]",1,10,10,4,4
"[2,18,27]",1,10,10,3,3
"[2,25,26,27]",1,10,10,4,4
"[2,26,27]",1,10,10,3,3
"[2,27]",1,10,10,2,2
"[3,7,8,18]",1,10,10,4,4
"[3,7,18,26,27]",1,10,10,5,5
"[3,7,18,27]",1,10,10,4,4
"[3,7,26,27]",1,10,10,4,4
"[3,7,27]",1,10,10,3,3
"[3,8,18]",1,10,10,3,3
"[3,18,25,26,27]",1,10,10,5,5
"[3,18,26,27]",1,10,10,4,4
"[3,18,27]",1,10,10,3,3
"[3,25,26,27]",1,10,10,4,4
"[3,26,27]",1,10,10,3,3
"[3,27]",1,10,10,2,2
"[7,8,18]",1,10,10,3,3
"[7,18,26,27]",1,10,10,4,4
"[7,18,27]",1,10,10,3,3
"[7,26,27]",1,10,10,3,3
"[7,27]",1,10,10,2,2
"[8,18]",1,10,10,2,2
"[18,25,26,27]",1,10,10,4,4
"[18,26,27]",1,10,10,3,3
"[18,27]",1,10,10,2,2
"[25,26,27]",1,10,10,3,3
"[26,27]",1,10,10,2,2
[27],1,10,10,1,1
"[1,2,18,28]",1,11,11,4,4
"[1,2,18,28,32]",1,11,11,5,5
"[1,2,18,32]",1,11,11,4,4
"[1,2,28]",1,11,11,3,3
"[1,2,32]",1,11,11,3,3
"[1,3,18,28]",1,11,11,4,4
"[1,3,18,28,32]",1,11,11,5,5
"[1,3,18,32]",1,11,11,4,4
"[1,3,28]",1,11,11,3,3
"[1,3,32]",1,11,11,3,3
"[2,3,18,28]",1,11,11,4,4
"[2,3,18,28,29,30,31]",1,11,11,7,7
"[2,3,18,28,29,30,31,32]",1,11,11,8,8
"[2,3,18,28,30]",1,11,11,5,5
"[2,3,18,28,30,31]",1,11,11,6,6
"[2,3,18,28,30,31,32]",1,11,11,7,7
"[2,3,18,28,30,32]",1,11,11,6,6
"[2,3,18,28,32]",1,11,11,5,5
"[2,3,18,29,30,31]",1,11,11,6,6
"[2,3,18,29,30,31,32]",1,11,11,7,7
"[2,3,18,30]",1,11,11,4,4
"[2,3,18,30,31]",1,11,11,5,5
"[2,3,18,30,31,32]",1,11,11,6,6
"[2,3,18,30,32]",1,11,11,5,5
"[2,3,18,32]",1,11,11,4,4
"[2,3,28]",1,11,11,3,3
"[2,3,28,29,30,31]",1,11,11,6,6
"[2,3,28,30]",1,11,11,4,4
"[2,3,28,30,31]",1,11,11,5,5
"[2,3,29,30,31]",1,11,11,5,5
"[2,3,29,30,31,32]",1,11,11,6,6
"[2,3,30]",1,11,11,3,3
"[2,3,30,31]",1,11,11,4,4
