thesis_registry_id,thesis_zdd_index,facts_count,permitted_cases_count,mean_vector_length,stdev_vector_length,thesis_decision_space_model_size
161518,59,4,6,1.5,1.048809,9
162032,60,6,38,2.868421,1.378818,109
162513,61,7,35,3.142857,1.611409,110
164273,62,7,35,3.142857,1.611409,110
164722,63,8,70,3.157143,1.303682,221
166602,64,8,70,3.157143,1.303682,221
168238,65,4,6,1.5,1.048809,9
168592,66,6,38,2.868421,1.378818,109
169022,67,4,6,1.5,1.048809,9
169244,68,4,5,1.8,0.83666,9
169650,69,8,70,3.157143,1.303682,221
169830,70,4,6,1.5,1.048809,9
172709,71,7,83,3.518072,1.391275,292
172955,72,8,62,3.209677,1.494658,199
174862,73,4,6,1.5,1.048809,9
175034,74,8,70,3.157143,1.303682,221
175851,75,8,62,3.209677,1.494658,199
179504,76,6,38,2.868421,1.378818,109
180040,77,6,38,2.868421,1.378818,109
184251,78,8,62,3.209677,1.494658,199
187145,79,7,35,3.142857,1.611409,110
188142,80,4,6,1.5,1.048809,9
188144,81,6,38,2.868421,1.378818,109
188544,82,6,38,2.868421,1.378818,109
189628,83,4,5,1.8,0.83666,9
189906,84,8,70,3.157143,1.303682,221
190437,85,7,83,3.518072,1.391275,292
192067,86,8,62,3.209677,1.494658,199
193673,87,7,35,3.142857,1.611409,110
196001,88,7,35,3.142857,1.611409,110
199535,89,10,261,5.019157,1.662834,1310
199950,90,4,6,1.5,1.048809,9
202177,24,9,234,4.5,1.634526,1053
202535,23,4,11,1.636364,0.924416,18
204300,25,5,20,2.4,1.273206,48
204375,26,4,8,2,1.309307,16
206322,27,7,52,3.384615,1.573729,176
210115,28,6,43,2.813953,1.349706,121
210588,29,6,32,2.75,1.414214,88
210589,30,5,2,3.5,0.707107,7
210888,31,6,38,2.868421,1.378818,109
210890,32,7,35,3.142857,1.611409,110
211744,33,7,14,2.928571,1.899971,41
212497,34,8,110,3.809091,1.599859,419
213224,35,8,70,3.157143,1.303682,221
214456,36,8,99,3.909091,1.591373,387
215033,37,5,20,2.4,1.273206,48
216431,38,8,62,3.209677,1.494658,199
219823,39,4,5,1.8,0.83666,9
221460,40,8,70,3.157143,1.303682,221
221758,41,8,41,3.121951,1.615474,128
222153,42,5,16,2.25,1.125463,36
222185,43,4,5,2,1.581139,10
223431,44,7,36,3.111111,1.488581,112
224038,45,7,38,2.868421,1.378818,109
224737,46,8,41,3.121951,1.615474,128
224820,47,9,254,4.42126,1.665655,1123
228850,48,8,73,3.287671,1.428669,240
228853,49,7,70,3.242857,1.438958,227
228856,50,5,16,2.25,1.341641,36
229292,51,4,6,2.166667,1.47196,13
241748,52,5,10,1.9,1.197219,19
241751,53,5,19,2.842105,1.067872,54
241812,54,5,13,1.923077,1.255756,25
242139,55,9,195,4.035897,1.493541,787
245838,56,9,73,3.287671,1.428669,240
246297,57,7,34,2.617647,1.206415,89
248006,58,7,83,3.518072,1.391275,292
270015,91,10,261,5.019157,1.662834,1310
270293,92,7,83,3.518072,1.391275,292
270619,93,8,62,3.209677,1.494658,199
270909,94,7,83,3.518072,1.391275,292
270912,95,6,38,2.868421,1.378818,109
271415,96,10,261,5.019157,1.662834,1310
271534,97,4,6,1.5,1.048809,9
271536,98,6,38,2.868421,1.378818,109
271673,99,7,35,3.142857,1.611409,110
271674,100,8,70,3.157143,1.303682,221
271675,101,8,62,3.209677,1.494658,199
272051,102,8,62,3.209677,1.494658,199
272139,103,8,62,3.209677,1.494658,199
272536,104,6,38,2.868421,1.378818,109
273071,105,10,261,5.019157,1.662834,1310
273127,106,10,261,5.019157,1.662834,1310
339015,107,10,261,5.019157,1.662834,1310
340211,108,8,62,3.209677,1.494658,199
341704,109,6,38,2.868421,1.378818,109
343163,110,8,62,3.209677,1.494658,199
343922,111,8,70,3.157143,1.303682,221
345885,112,7,83,3.518072,1.391275,292
347316,113,4,5,1.8,0.83666,9
347475,114,8,62,3.209677,1.494658,199
347751,115,10,261,5.019157,1.662834,1310
348113,116,7,35,3.142857,1.611409,110
348467,117,8,62,3.209677,1.494658,199
348821,118,7,83,3.518072,1.391275,292
348860,119,4,5,1.8,0.83666,9
349370,120,8,70,3.157143,1.303682,221
349788,121,4,5,1.8,0.83666,9
351465,122,7,35,3.142857,1.611409,110
351663,123,10,261,5.019157,1.662834,1310
352533,124,7,83,3.518072,1.391275,292
352678,125,4,6,1.5,1.048809,9
353700,126,4,5,1.8,0.83666,9
353892,127,4,5,1.8,0.83666,9
354119,128,10,261,5.019157,1.662834,1310
358628,129,4,5,1.8,0.83666,9
359660,130,4,5,1.8,0.83666,9
360341,131,7,83,3.518072,1.391275,292
360740,132,4,5,1.8,0.83666,9
360742,133,4,6,1.5,1.048809,9
361460,134,4,5,1.8,0.83666,9
385312,135,6,38,2.868421,1.378818,109
385657,136,7,35,3.142857,1.611409,110
800677,137,7,83,3.518072,1.391275,292
800681,138,7,35,3.142857,1.611409,110
801244,139,4,5,1.8,0.83666,9
801247,140,10,261,5.019157,1.662834,1310
804158,141,4,6,1.5,1.048809,9
804320,142,6,38,2.868421,1.378818,109
804441,143,7,35,3.142857,1.611409,110
806970,144,8,70,3.157143,1.303682,221
811551,145,10,261,5.019157,1.662834,1310
812166,146,4,6,1.5,1.048809,9
815363,147,8,62,3.209677,1.494658,199
2000627,148,8,62,3.209677,1.494658,199
2003880,149,6,38,2.868421,1.378818,109
2008083,12,10,261,5.019157,1.662834,1310
2009239,13,7,45,2.955556,1.330679,133
2011927,14,5,14,1.928571,1.071612,27
2014858,15,7,77,2.974026,1.202782,229
2014940,16,5,16,2,1.032796,32
2016571,21,11,426,4.457746,1.458234,1899
2017366,17,9,136,4.294118,1.772705,584
2017539,18,6,19,2.894737,1.370107,55
2017540,19,9,42,3.97619,1.854304,167
2018505,20,9,96,3.916667,1.58723,376
2020418,1,4,6,1.5,1.048809,9
2020599,150,10,261,5.019157,1.662834,1310
2020615,151,10,261,5.019157,1.662834,1310
2021246,2,5,15,2.4,1.352247,36
2021398,3,8,93,3.462366,1.395327,322
2021537,4,7,46,3.065217,1.388879,141
2022776,152,6,38,2.868421,1.378818,109
2023487,5,7,48,2.791667,1.219667,134
2024088,22,7,42,3.309524,1.439649,139
2025237,6,6,20,2.9,1.552587,58
2025433,7,6,27,2.888889,1.476309,78
2029251,8,6,27,2.777778,1.42325,75
2030499,9,7,28,3.142857,1.736627,88
2030500,10,8,53,3.132075,1.345044,166
2030717,11,7,35,2.828571,1.382362,99
