zdd_id,thesis_number,magic_number,array_index,array_length,array_elements,array_signature_sorted,element_position,element_value
1,2020418,0,1,3,"[1,3,4]","[1,3,4]",0,1
1,2020418,0,1,3,"[1,3,4]","[1,3,4]",1,3
1,2020418,0,1,3,"[1,3,4]","[1,3,4]",2,4
1,2020418,0,2,2,"[1,4]","[1,4]",0,1
1,2020418,0,2,2,"[1,4]","[1,4]",1,4
1,2020418,0,3,1,[2],[2],0,2
1,2020418,0,4,2,"[3,4]","[3,4]",0,3
1,2020418,0,4,2,"[3,4]","[3,4]",1,4
1,2020418,0,5,1,[4],[4],0,4
2,2021246,0,1,1,[3],[3],0,3
2,2021246,0,2,5,"[3,5,6,7,8]","[3,5,6,7,8]",0,3
2,2021246,0,2,5,"[3,5,6,7,8]","[3,5,6,7,8]",1,5
2,2021246,0,2,5,"[3,5,6,7,8]","[3,5,6,7,8]",2,6
2,2021246,0,2,5,"[3,5,6,7,8]","[3,5,6,7,8]",3,7
2,2021246,0,2,5,"[3,5,6,7,8]","[3,5,6,7,8]",4,8
2,2021246,0,3,3,"[3,6,7]","[3,6,7]",0,3
2,2021246,0,3,3,"[3,6,7]","[3,6,7]",1,6
2,2021246,0,3,3,"[3,6,7]","[3,6,7]",2,7
2,2021246,0,4,4,"[3,6,7,8]","[3,6,7,8]",0,3
2,2021246,0,4,4,"[3,6,7,8]","[3,6,7,8]",1,6
2,2021246,0,4,4,"[3,6,7,8]","[3,6,7,8]",2,7
2,2021246,0,4,4,"[3,6,7,8]","[3,6,7,8]",3,8
2,2021246,0,5,2,"[3,7]","[3,7]",0,3
2,2021246,0,5,2,"[3,7]","[3,7]",1,7
2,2021246,0,6,3,"[3,7,8]","[3,7,8]",0,3
2,2021246,0,6,3,"[3,7,8]","[3,7,8]",1,7
2,2021246,0,6,3,"[3,7,8]","[3,7,8]",2,8
2,2021246,0,7,2,"[3,8]","[3,8]",0,3
2,2021246,0,7,2,"[3,8]","[3,8]",1,8
2,2021246,0,8,3,"[5,6,7]","[5,6,7]",0,5
2,2021246,0,8,3,"[5,6,7]","[5,6,7]",1,6
2,2021246,0,8,3,"[5,6,7]","[5,6,7]",2,7
2,2021246,0,9,4,"[5,6,7,8]","[5,6,7,8]",0,5
2,2021246,0,9,4,"[5,6,7,8]","[5,6,7,8]",1,6
2,2021246,0,9,4,"[5,6,7,8]","[5,6,7,8]",2,7
2,2021246,0,9,4,"[5,6,7,8]","[5,6,7,8]",3,8
2,2021246,0,10,2,"[6,7]","[6,7]",0,6
2,2021246,0,10,2,"[6,7]","[6,7]",1,7
2,2021246,0,11,3,"[6,7,8]","[6,7,8]",0,6
2,2021246,0,11,3,"[6,7,8]","[6,7,8]",1,7
2,2021246,0,11,3,"[6,7,8]","[6,7,8]",2,8
2,2021246,0,12,1,[7],[7],0,7
2,2021246,0,13,2,"[7,8]","[7,8]",0,7
2,2021246,0,13,2,"[7,8]","[7,8]",1,8
2,2021246,0,14,1,[8],[8],0,8
3,2021398,0,1,6,"[3,6,8,9,10,12]","[3,6,8,9,10,12]",0,3
3,2021398,0,1,6,"[3,6,8,9,10,12]","[3,6,8,9,10,12]",1,6
3,2021398,0,1,6,"[3,6,8,9,10,12]","[3,6,8,9,10,12]",2,8
